"machine","test","target","dilution","run","isolate","replicate","Ct","run.isolate.replicate","isolate.replicate","flag"
"QuantStudio5","Berlin Charity","E",1,"1","1","1",10.5087986,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",0.1,"1","1","1",13.85354519,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",0.01,"1","1","1",17.21463203,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",0.001,"1","1","1",20.5325985,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",1e-04,"1","1","1",23.74287224,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",1e-05,"1","1","1",26.94543457,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",1e-06,"1","1","1",30.0302887,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",1e-07,"1","1","1",33.29881668,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",1e-08,"1","1","1",35.30595016,"1-1-1","1-1",1
"QuantStudio5","Berlin Charity","E",1,"1","1","2",10.82480526,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",0.1,"1","1","2",13.76915741,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",0.01,"1","1","2",16.66999817,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",0.001,"1","1","2",20.34192276,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",1e-04,"1","1","2",23.57621765,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",1e-05,"1","1","2",26.87302017,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",1e-06,"1","1","2",30.82945633,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",1e-07,"1","1","2",33.2162056,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",1e-08,"1","1","2",34.64557648,"1-1-2","1-2",1
"QuantStudio5","Berlin Charity","E",1,"1","1","3",11.639,"1-1-3","1-3",1
"QuantStudio5","Berlin Charity","E",0.1,"1","1","3",14.598,"1-1-3","1-3",1
"QuantStudio5","Berlin Charity","E",0.01,"1","1","3",17.844,"1-1-3","1-3",1
"QuantStudio5","Berlin Charity","E",0.001,"1","1","3",21.13,"1-1-3","1-3",1
"QuantStudio5","Berlin Charity","E",1e-04,"1","1","3",24.36,"1-1-3","1-3",1
