"date","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-03-19,"gp_rt",2,2.59875,2.56581259761338,0,1,1,3,4,8,"Analamanga","EpiNow2-IPM-dat"
2020-03-20,"gp_rt",3,4.189,3.90571282202904,0,1,2,4,6,12,"Analamanga","EpiNow2-IPM-dat"
2020-03-21,"gp_rt",2,3.1845,3.18457141916788,0,1,2,3,4,9,"Analamanga","EpiNow2-IPM-dat"
2020-03-22,"gp_rt",2,2.53475,2.62754989336274,0,1,1,2,4,8,"Analamanga","EpiNow2-IPM-dat"
2020-03-23,"gp_rt",5,6.04025,5.57686339162277,0,2,4,6,8,17,"Analamanga","EpiNow2-IPM-dat"
2020-03-24,"gp_rt",4,5.662,5.18666379962521,0,2,3,6,8,16,"Analamanga","EpiNow2-IPM-dat"
2020-03-25,"gp_rt",4,4.819,4.38640503570798,0,2,3,5,7,13,"Analamanga","EpiNow2-IPM-dat"
2020-03-26,"gp_rt",3,4.40325,4.01542903748638,0,1,3,4,6,12,"Analamanga","EpiNow2-IPM-dat"
2020-03-27,"gp_rt",4,5.8405,5.23649835087768,0,2,3,6,8,16,"Analamanga","EpiNow2-IPM-dat"
2020-03-28,"gp_rt",3,4.0655,3.8281684221527,0,1,2,4,6,12,"Analamanga","EpiNow2-IPM-dat"
2020-03-29,"gp_rt",2,3.09275,3.08164267362262,0,1,2,3,4,9,"Analamanga","EpiNow2-IPM-dat"
2020-03-30,"gp_rt",6,7.287,6.16572258812853,0,3,4,7,10,19,"Analamanga","EpiNow2-IPM-dat"
2020-03-31,"gp_rt",6,7.3775,6.39110360589823,0,3,5,7,10,20,"Analamanga","EpiNow2-IPM-dat"
2020-04-01,"gp_rt",5,6.2195,5.64364974512163,0,2,4,6,9,17,"Analamanga","EpiNow2-IPM-dat"
2020-04-02,"gp_rt",4,5.756,5.12821008097939,0,2,3,6,8,16,"Analamanga","EpiNow2-IPM-dat"
2020-04-03,"gp_rt",6,7.666,6.72255473652289,0,3,5,7,10,21,"Analamanga","EpiNow2-IPM-dat"
2020-04-04,"gp_rt",4,5.46575,4.80073835047042,0,2,3,5,8,15,"Analamanga","EpiNow2-IPM-dat"
2020-04-05,"gp_rt",3,4.04475,3.9000705218007,0,1,2,4,6,11,"Analamanga","EpiNow2-IPM-dat"
2020-04-06,"gp_rt",8,9.5755,8.24986756431321,1,4,6,9,13,26,"Analamanga","EpiNow2-IPM-dat"
2020-04-07,"gp_rt",8,9.60225,8.18790604421223,1,4,6,9,13,26,"Analamanga","EpiNow2-IPM-dat"
2020-04-08,"gp_rt",6,8.104,6.87397242314941,1,3,5,8,11,22,"Analamanga","EpiNow2-IPM-dat"
