"","date","confirm","region"
"1",2020-03-26,3,"Atsinanana"
"2",2020-03-27,2,"Atsinanana"
"3",2020-03-28,0,"Atsinanana"
"4",2020-03-29,0,"Atsinanana"
"5",2020-03-30,1,"Atsinanana"
"6",2020-03-31,0,"Atsinanana"
"7",2020-04-01,0,"Atsinanana"
"8",2020-04-02,0,"Atsinanana"
"9",2020-04-03,2,"Atsinanana"
"10",2020-04-04,1,"Atsinanana"
"11",2020-04-05,1,"Atsinanana"
"12",2020-04-06,2,"Atsinanana"
"13",2020-04-07,1,"Atsinanana"
"14",2020-04-08,3,"Atsinanana"
"15",2020-04-09,0,"Atsinanana"
"16",2020-04-10,1,"Atsinanana"
"17",2020-04-11,0,"Atsinanana"
"18",2020-04-12,2,"Atsinanana"
"19",2020-04-13,0,"Atsinanana"
"20",2020-04-14,2,"Atsinanana"
"21",2020-04-15,0,"Atsinanana"
"22",2020-04-16,1,"Atsinanana"
"23",2020-04-17,0,"Atsinanana"
"24",2020-04-18,0,"Atsinanana"
"25",2020-04-19,0,"Atsinanana"
"26",2020-04-20,0,"Atsinanana"
"27",2020-04-21,0,"Atsinanana"
"28",2020-04-22,0,"Atsinanana"
"29",2020-04-23,2,"Atsinanana"
"30",2020-04-24,0,"Atsinanana"
"31",2020-04-25,0,"Atsinanana"
"32",2020-04-26,0,"Atsinanana"
"33",2020-04-27,0,"Atsinanana"
"34",2020-04-28,2,"Atsinanana"
"35",2020-04-29,0,"Atsinanana"
"36",2020-04-30,8,"Atsinanana"
"37",2020-05-01,2,"Atsinanana"
"38",2020-05-02,4,"Atsinanana"
"39",2020-05-03,0,"Atsinanana"
"40",2020-05-04,18,"Atsinanana"
"41",2020-05-05,2,"Atsinanana"
"42",2020-05-06,68,"Atsinanana"
"43",2020-05-07,20,"Atsinanana"
"44",2020-05-08,12,"Atsinanana"
"45",2020-05-09,7,"Atsinanana"
"46",2020-05-10,2,"Atsinanana"
"47",2020-05-11,23,"Atsinanana"
"48",2020-05-12,12,"Atsinanana"
"49",2020-05-13,23,"Atsinanana"
"50",2020-05-14,22,"Atsinanana"
"51",2020-05-15,40,"Atsinanana"
"52",2020-05-16,20,"Atsinanana"
"53",2020-05-17,4,"Atsinanana"
"54",2020-05-18,23,"Atsinanana"
"55",2020-05-19,16,"Atsinanana"
"56",2020-05-20,25,"Atsinanana"
"57",2020-05-21,9,"Atsinanana"
"58",2020-05-22,9,"Atsinanana"
"59",2020-05-23,1,"Atsinanana"
"60",2020-05-24,14,"Atsinanana"
"61",2020-05-25,7,"Atsinanana"
"62",2020-05-26,22,"Atsinanana"
"63",2020-05-27,25,"Atsinanana"
"64",2020-05-28,13,"Atsinanana"
"65",2020-05-29,30,"Atsinanana"
"66",2020-05-30,18,"Atsinanana"
"67",2020-05-31,10,"Atsinanana"
"68",2020-06-01,24,"Atsinanana"
"69",2020-06-02,57,"Atsinanana"
"70",2020-06-03,23,"Atsinanana"
"71",2020-06-04,12,"Atsinanana"
"72",2020-06-05,6,"Atsinanana"
"73",2020-06-06,9,"Atsinanana"
"74",2020-06-07,3,"Atsinanana"
"75",2020-06-08,4,"Atsinanana"
"76",2020-06-09,16,"Atsinanana"
"77",2020-06-10,8,"Atsinanana"
"78",2020-06-11,3,"Atsinanana"
"79",2020-06-12,4,"Atsinanana"
