"date","confirm","region","source"
2020-03-26,3,"Atsinanana","IPM-data"
2020-03-27,2,"Atsinanana","IPM-data"
2020-03-28,0,"Atsinanana","IPM-data"
2020-03-29,0,"Atsinanana","IPM-data"
2020-03-30,1,"Atsinanana","IPM-data"
2020-03-31,0,"Atsinanana","IPM-data"
2020-04-01,0,"Atsinanana","IPM-data"
2020-04-02,0,"Atsinanana","IPM-data"
2020-04-03,2,"Atsinanana","IPM-data"
2020-04-04,1,"Atsinanana","IPM-data"
2020-04-05,1,"Atsinanana","IPM-data"
2020-04-06,2,"Atsinanana","IPM-data"
2020-04-07,1,"Atsinanana","IPM-data"
2020-04-08,3,"Atsinanana","IPM-data"
2020-04-09,0,"Atsinanana","IPM-data"
2020-04-10,1,"Atsinanana","IPM-data"
2020-04-11,0,"Atsinanana","IPM-data"
2020-04-12,2,"Atsinanana","IPM-data"
2020-04-13,0,"Atsinanana","IPM-data"
2020-04-14,2,"Atsinanana","IPM-data"
2020-04-15,0,"Atsinanana","IPM-data"
2020-04-16,1,"Atsinanana","IPM-data"
2020-04-17,0,"Atsinanana","IPM-data"
2020-04-18,0,"Atsinanana","IPM-data"
2020-04-19,0,"Atsinanana","IPM-data"
2020-04-20,0,"Atsinanana","IPM-data"
2020-04-21,0,"Atsinanana","IPM-data"
2020-04-22,0,"Atsinanana","IPM-data"
2020-04-23,2,"Atsinanana","IPM-data"
2020-04-24,0,"Atsinanana","IPM-data"
2020-04-25,0,"Atsinanana","IPM-data"
2020-04-26,0,"Atsinanana","IPM-data"
2020-04-27,0,"Atsinanana","IPM-data"
2020-04-28,2,"Atsinanana","IPM-data"
2020-04-29,0,"Atsinanana","IPM-data"
2020-04-30,8,"Atsinanana","IPM-data"
2020-05-01,2,"Atsinanana","IPM-data"
2020-05-02,4,"Atsinanana","IPM-data"
2020-05-03,0,"Atsinanana","IPM-data"
2020-05-04,18,"Atsinanana","IPM-data"
2020-05-05,2,"Atsinanana","IPM-data"
2020-05-06,68,"Atsinanana","IPM-data"
2020-05-07,20,"Atsinanana","IPM-data"
2020-05-08,12,"Atsinanana","IPM-data"
2020-05-09,7,"Atsinanana","IPM-data"
2020-05-10,2,"Atsinanana","IPM-data"
2020-05-11,23,"Atsinanana","IPM-data"
2020-05-12,12,"Atsinanana","IPM-data"
2020-05-13,23,"Atsinanana","IPM-data"
2020-05-14,22,"Atsinanana","IPM-data"
2020-05-15,40,"Atsinanana","IPM-data"
2020-05-16,20,"Atsinanana","IPM-data"
