date,confirm,region
3/26/20,3,Atsinanana
3/27/20,2,Atsinanana
3/28/20,0,Atsinanana
3/29/20,0,Atsinanana
3/30/20,1,Atsinanana
3/31/20,0,Atsinanana
4/1/20,0,Atsinanana
4/2/20,0,Atsinanana
4/3/20,2,Atsinanana
4/4/20,1,Atsinanana
4/5/20,1,Atsinanana
4/6/20,2,Atsinanana
4/7/20,1,Atsinanana
4/8/20,3,Atsinanana
4/9/20,0,Atsinanana
4/10/20,1,Atsinanana
4/11/20,0,Atsinanana
4/12/20,2,Atsinanana
4/13/20,0,Atsinanana
4/14/20,2,Atsinanana
4/15/20,0,Atsinanana
4/16/20,1,Atsinanana
4/17/20,0,Atsinanana
4/18/20,0,Atsinanana
4/19/20,0,Atsinanana
4/20/20,0,Atsinanana
4/21/20,0,Atsinanana
4/22/20,0,Atsinanana
4/23/20,2,Atsinanana
4/24/20,0,Atsinanana
4/25/20,0,Atsinanana
4/26/20,0,Atsinanana
4/27/20,0,Atsinanana
4/28/20,2,Atsinanana
4/29/20,0,Atsinanana
4/30/20,8,Atsinanana
5/1/20,2,Atsinanana
5/2/20,4,Atsinanana
5/3/20,0,Atsinanana
5/4/20,18,Atsinanana
5/5/20,2,Atsinanana
5/6/20,68,Atsinanana
5/7/20,20,Atsinanana
5/8/20,12,Atsinanana
5/9/20,7,Atsinanana
5/10/20,2,Atsinanana
5/11/20,23,Atsinanana
5/12/20,12,Atsinanana
5/13/20,23,Atsinanana
5/14/20,22,Atsinanana
5/15/20,40,Atsinanana
5/16/20,20,Atsinanana
5/17/20,4,Atsinanana
5/18/20,23,Atsinanana
5/19/20,16,Atsinanana
5/20/20,25,Atsinanana
5/21/20,9,Atsinanana
5/22/20,9,Atsinanana
5/23/20,1,Atsinanana
5/24/20,14,Atsinanana
5/25/20,7,Atsinanana
5/26/20,22,Atsinanana
5/27/20,25,Atsinanana
5/28/20,13,Atsinanana
5/29/20,30,Atsinanana
5/30/20,18,Atsinanana
5/31/20,10,Atsinanana
6/1/20,24,Atsinanana
6/2/20,57,Atsinanana
6/3/20,23,Atsinanana
6/4/20,12,Atsinanana
6/5/20,6,Atsinanana
6/6/20,9,Atsinanana
6/7/20,3,Atsinanana
6/8/20,4,Atsinanana
6/9/20,16,Atsinanana
6/10/20,8,Atsinanana
6/11/20,3,Atsinanana
6/12/20,4,Atsinanana
6/13/20,6,Atsinanana
6/14/20,3,Atsinanana
6/15/20,2,Atsinanana
6/16/20,1,Atsinanana
6/17/20,3,Atsinanana
6/18/20,1,Atsinanana
6/19/20,5,Atsinanana
6/20/20,1,Atsinanana
6/21/20,1,Atsinanana
6/22/20,2,Atsinanana
6/23/20,0,Atsinanana
6/24/20,1,Atsinanana
6/25/20,0,Atsinanana
6/26/20,0,Atsinanana
6/27/20,0,Atsinanana
6/28/20,0,Atsinanana
6/29/20,1,Atsinanana
6/30/20,0,Atsinanana
7/1/20,3,Atsinanana
7/2/20,1,Atsinanana
7/3/20,1,Atsinanana
7/4/20,1,Atsinanana
7/5/20,1,Atsinanana
7/6/20,2,Atsinanana
7/7/20,0,Atsinanana
7/8/20,0,Atsinanana
7/9/20,2,Atsinanana
7/10/20,0,Atsinanana
7/11/20,0,Atsinanana
7/12/20,0,Atsinanana
7/13/20,6,Atsinanana
7/14/20,2,Atsinanana
7/15/20,3,Atsinanana
7/16/20,2,Atsinanana
7/17/20,2,Atsinanana
7/18/20,0,Atsinanana
7/19/20,0,Atsinanana
7/20/20,0,Atsinanana
7/21/20,0,Atsinanana
7/22/20,0,Atsinanana
7/23/20,0,Atsinanana
7/24/20,0,Atsinanana
7/25/20,0,Atsinanana
7/26/20,0,Atsinanana
7/27/20,0,Atsinanana
7/28/20,1,Atsinanana
7/29/20,0,Atsinanana
7/30/20,0,Atsinanana
7/31/20,0,Atsinanana
8/1/20,0,Atsinanana
8/2/20,0,Atsinanana
8/3/20,0,Atsinanana
8/4/20,0,Atsinanana
3/19/20,2,Analamanga
3/20/20,13,Analamanga
3/21/20,0,Analamanga
3/22/20,2,Analamanga
3/23/20,0,Analamanga
3/24/20,4,Analamanga
3/25/20,3,Analamanga
3/26/20,10,Analamanga
3/27/20,0,Analamanga
3/28/20,3,Analamanga
3/29/20,0,Analamanga
3/30/20,1,Analamanga
3/31/20,3,Analamanga
4/1/20,3,Analamanga
4/2/20,0,Analamanga
4/3/20,0,Analamanga
4/4/20,7,Analamanga
4/5/20,3,Analamanga
4/6/20,2,Analamanga
4/7/20,1,Analamanga
4/8/20,1,Analamanga
4/9/20,2,Analamanga
4/10/20,0,Analamanga
4/11/20,1,Analamanga
4/12/20,2,Analamanga
4/13/20,3,Analamanga
4/14/20,2,Analamanga
4/15/20,2,Analamanga
4/16/20,1,Analamanga
4/17/20,1,Analamanga
4/18/20,0,Analamanga
4/19/20,0,Analamanga
4/20/20,0,Analamanga
4/21/20,0,Analamanga
4/22/20,1,Analamanga
4/23/20,0,Analamanga
4/24/20,3,Analamanga
4/25/20,0,Analamanga
4/26/20,0,Analamanga
4/27/20,0,Analamanga
4/28/20,0,Analamanga
4/29/20,2,Analamanga
4/30/20,0,Analamanga
5/1/20,6,Analamanga
5/2/20,5,Analamanga
5/3/20,19,Analamanga
5/4/20,29,Analamanga
5/5/20,1,Analamanga
5/6/20,1,Analamanga
5/7/20,3,Analamanga
5/8/20,0,Analamanga
5/9/20,2,Analamanga
5/10/20,0,Analamanga
5/11/20,0,Analamanga
5/12/20,1,Analamanga
5/13/20,1,Analamanga
5/14/20,3,Analamanga
5/15/20,1,Analamanga
5/16/20,0,Analamanga
5/17/20,1,Analamanga
5/18/20,0,Analamanga
5/19/20,0,Analamanga
5/20/20,0,Analamanga
5/21/20,1,Analamanga
5/22/20,6,Analamanga
5/23/20,2,Analamanga
5/24/20,1,Analamanga
5/25/20,2,Analamanga
5/26/20,16,Analamanga
5/27/20,7,Analamanga
5/28/20,1,Analamanga
5/29/20,0,Analamanga
5/30/20,11,Analamanga
5/31/20,4,Analamanga
6/1/20,4,Analamanga
6/2/20,5,Analamanga
6/3/20,7,Analamanga
6/4/20,4,Analamanga
6/5/20,0,Analamanga
6/6/20,0,Analamanga
6/7/20,0,Analamanga
6/8/20,4,Analamanga
6/9/20,22,Analamanga
6/10/20,16,Analamanga
6/11/20,2,Analamanga
6/12/20,0,Analamanga
6/13/20,9,Analamanga
6/14/20,2,Analamanga
6/15/20,50,Analamanga
6/16/20,26,Analamanga
6/17/20,20,Analamanga
6/18/20,3,Analamanga
6/19/20,6,Analamanga
6/20/20,17,Analamanga
6/21/20,2,Analamanga
6/22/20,17,Analamanga
6/23/20,3,Analamanga
6/24/20,16,Analamanga
6/25/20,22,Analamanga
6/26/20,88,Analamanga
6/27/20,120,Analamanga
6/28/20,72,Analamanga
6/29/20,83,Analamanga
6/30/20,131,Analamanga
7/1/20,41,Analamanga
7/2/20,6,Analamanga
7/3/20,92,Analamanga
7/4/20,105,Analamanga
7/5/20,56,Analamanga
7/6/20,58,Analamanga
7/7/20,174,Analamanga
7/8/20,156,Analamanga
7/9/20,55,Analamanga
7/10/20,80,Analamanga
7/11/20,23,Analamanga
7/12/20,19,Analamanga
7/13/20,28,Analamanga
7/14/20,94,Analamanga
7/15/20,47,Analamanga
7/16/20,10,Analamanga
7/17/20,56,Analamanga
7/18/20,42,Analamanga
7/19/20,27,Analamanga
7/20/20,67,Analamanga
7/21/20,23,Analamanga
7/22/20,57,Analamanga
7/23/20,41,Analamanga
7/24/20,35,Analamanga
7/25/20,35,Analamanga
7/26/20,10,Analamanga
7/27/20,31,Analamanga
7/28/20,46,Analamanga
7/29/20,30,Analamanga
7/30/20,31,Analamanga
7/31/20,25,Analamanga
8/1/20,26,Analamanga
8/2/20,31,Analamanga
8/3/20,53,Analamanga
8/4/20,23,Analamanga
8/5/20,34,Analamanga
8/6/20,41,Analamanga
8/7/20,49,Analamanga
8/8/20,22,Analamanga
8/9/20,7,Analamanga
8/10/20,26,Analamanga
8/11/20,40,Analamanga
