"t","date"
0,2020-02-11
1,2020-02-12
2,2020-02-13
3,2020-02-14
4,2020-02-15
5,2020-02-16
6,2020-02-17
7,2020-02-18
8,2020-02-19
9,2020-02-20
10,2020-02-21
11,2020-02-22
12,2020-02-23
13,2020-02-24
14,2020-02-25
15,2020-02-26
16,2020-02-27
17,2020-02-28
18,2020-02-29
19,2020-03-01
20,2020-03-02
21,2020-03-03
22,2020-03-04
23,2020-03-05
24,2020-03-06
25,2020-03-07
26,2020-03-08
27,2020-03-09
28,2020-03-10
29,2020-03-11
30,2020-03-12
31,2020-03-13
32,2020-03-14
33,2020-03-15
34,2020-03-16
35,2020-03-17
36,2020-03-18
37,2020-03-19
38,2020-03-20
39,2020-03-21
40,2020-03-22
41,2020-03-23
42,2020-03-24
43,2020-03-25
44,2020-03-26
45,2020-03-27
46,2020-03-28
47,2020-03-29
48,2020-03-30
49,2020-03-31
50,2020-04-01
51,2020-04-02
52,2020-04-03
53,2020-04-04
54,2020-04-05
55,2020-04-06
56,2020-04-07
57,2020-04-08
58,2020-04-09
59,2020-04-10
60,2020-04-11
61,2020-04-12
62,2020-04-13
63,2020-04-14
64,2020-04-15
65,2020-04-16
66,2020-04-17
67,2020-04-18
68,2020-04-19
69,2020-04-20
70,2020-04-21
71,2020-04-22
72,2020-04-23
73,2020-04-24
74,2020-04-25
75,2020-04-26
76,2020-04-27
77,2020-04-28
78,2020-04-29
79,2020-04-30
80,2020-05-01
81,2020-05-02
82,2020-05-03
83,2020-05-04
84,2020-05-05
85,2020-05-06
86,2020-05-07
87,2020-05-08
88,2020-05-09
89,2020-05-10
90,2020-05-11
91,2020-05-12
92,2020-05-13
93,2020-05-14
94,2020-05-15
95,2020-05-16
96,2020-05-17
97,2020-05-18
98,2020-05-19
99,2020-05-20
100,2020-05-21
101,2020-05-22
102,2020-05-23
103,2020-05-24
104,2020-05-25
105,2020-05-26
106,2020-05-27
107,2020-05-28
108,2020-05-29
109,2020-05-30
110,2020-05-31
111,2020-06-01
112,2020-06-02
113,2020-06-03
114,2020-06-04
115,2020-06-05
116,2020-06-06
117,2020-06-07
118,2020-06-08
119,2020-06-09
120,2020-06-10
121,2020-06-11
122,2020-06-12
123,2020-06-13
124,2020-06-14
125,2020-06-15
126,2020-06-16
127,2020-06-17
128,2020-06-18
129,2020-06-19
130,2020-06-20
131,2020-06-21
132,2020-06-22
133,2020-06-23
134,2020-06-24
135,2020-06-25
136,2020-06-26
137,2020-06-27
138,2020-06-28
139,2020-06-29
140,2020-06-30
141,2020-07-01
142,2020-07-02
143,2020-07-03
144,2020-07-04
145,2020-07-05
146,2020-07-06
147,2020-07-07
148,2020-07-08
149,2020-07-09
150,2020-07-10
151,2020-07-11
152,2020-07-12
153,2020-07-13
154,2020-07-14
155,2020-07-15
156,2020-07-16
157,2020-07-17
158,2020-07-18
159,2020-07-19
160,2020-07-20
161,2020-07-21
162,2020-07-22
163,2020-07-23
164,2020-07-24
165,2020-07-25
166,2020-07-26
167,2020-07-27
168,2020-07-28
169,2020-07-29
170,2020-07-30
171,2020-07-31
172,2020-08-01
173,2020-08-02
174,2020-08-03
175,2020-08-04
176,2020-08-05
177,2020-08-06
178,2020-08-07
179,2020-08-08
180,2020-08-09
181,2020-08-10
182,2020-08-11
183,2020-08-12
184,2020-08-13
185,2020-08-14
186,2020-08-15
187,2020-08-16
188,2020-08-17
189,2020-08-18
190,2020-08-19
191,2020-08-20
192,2020-08-21
193,2020-08-22
194,2020-08-23
195,2020-08-24
196,2020-08-25
197,2020-08-26
198,2020-08-27
199,2020-08-28
200,2020-08-29
201,2020-08-30
202,2020-08-31
203,2020-09-01
204,2020-09-02
205,2020-09-03
206,2020-09-04
207,2020-09-05
208,2020-09-06
209,2020-09-07
210,2020-09-08
211,2020-09-09
212,2020-09-10
213,2020-09-11
214,2020-09-12
215,2020-09-13
216,2020-09-14
217,2020-09-15
218,2020-09-16
219,2020-09-17
220,2020-09-18
221,2020-09-19
222,2020-09-20
223,2020-09-21
224,2020-09-22
225,2020-09-23
226,2020-09-24
227,2020-09-25
228,2020-09-26
229,2020-09-27
230,2020-09-28
231,2020-09-29
232,2020-09-30
