"t","lower","median","upper","district","fit","date"
1,-0.0224351730954295,0.000454043232793023,0.0505787073602943,"Analamanga","gp",2020-02-12
2,-0.0222763956003958,0.000275335187910867,0.0479187651959033,"Analamanga","gp",2020-02-13
3,-0.0218406391942802,-0.00016068269820411,0.0434561012941852,"Analamanga","gp",2020-02-14
4,-0.0232139528791716,-0.000480840634370755,0.0397986301161311,"Analamanga","gp",2020-02-15
5,-0.0244785650585091,-0.00140581011194623,0.0367967447167006,"Analamanga","gp",2020-02-16
6,-0.025682647212877,-0.0025949918157995,0.0330669820462041,"Analamanga","gp",2020-02-17
7,-0.0260880648287288,-0.00335785759348046,0.0305897729828162,"Analamanga","gp",2020-02-18
8,-0.0273473704984447,-0.00463349366695425,0.0283558003643128,"Analamanga","gp",2020-02-19
9,-0.0308945804545177,-0.00594901677078152,0.0254042839121287,"Analamanga","gp",2020-02-20
10,-0.035332060870993,-0.00739270666999794,0.0224321038287195,"Analamanga","gp",2020-02-21
11,-0.0402714225519782,-0.0102608267776849,0.0214601900747518,"Analamanga","gp",2020-02-22
12,-0.0452402750323106,-0.0117599990957662,0.0191259065294255,"Analamanga","gp",2020-02-23
13,-0.0496026229559882,-0.0115456111497709,0.0148159061490438,"Analamanga","gp",2020-02-24
14,-0.0513033755851692,-0.0134750216021226,0.0105751830047821,"Analamanga","gp",2020-02-25
15,-0.0550668760845899,-0.016201468901166,0.00649222576265986,"Analamanga","gp",2020-02-26
16,-0.0581092018456376,-0.0193764514805203,0.0017516629260811,"Analamanga","gp",2020-02-27
17,-0.0652933089985456,-0.0228086419216062,-0.000806594293453302,"Analamanga","gp",2020-02-28
18,-0.0746241658941693,-0.0266027083983724,-0.00249935115750674,"Analamanga","gp",2020-02-29
19,-0.0886774914567074,-0.0293992399893426,-0.00556799732113625,"Analamanga","gp",2020-03-01
20,-0.0956592431348681,-0.0312708335076041,-0.00772840800205364,"Analamanga","gp",2020-03-02
21,-0.097934531708169,-0.035807318100258,-0.0104076253516136,"Analamanga","gp",2020-03-03
22,-0.101471105241416,-0.0423528479395191,-0.0141342848360945,"Analamanga","gp",2020-03-04
23,-0.111429580191895,-0.0470738577066742,-0.0173190945020565,"Analamanga","gp",2020-03-05
24,-0.120759219382575,-0.052064847705336,-0.0195370485382694,"Analamanga","gp",2020-03-06
25,-0.122233358849145,-0.0574152320998206,-0.0230365149257873,"Analamanga","gp",2020-03-07
26,-0.126045865457543,-0.0612614084847654,-0.0248444857162478,"Analamanga","gp",2020-03-08
27,-0.134609542225944,-0.0670268235143152,-0.0270128174739902,"Analamanga","gp",2020-03-09
28,-0.138652219027614,-0.0733433448685011,-0.027693357416699,"Analamanga","gp",2020-03-10
29,-0.14572603346156,-0.0802054850792824,-0.0310866536563127,"Analamanga","gp",2020-03-11
30,-0.154516117570622,-0.0870535888877017,-0.0345664228308476,"Analamanga","gp",2020-03-12
31,-0.156571414858075,-0.0889097488111751,-0.0391194067589718,"Analamanga","gp",2020-03-13
32,-0.154793450926462,-0.0929532402650119,-0.0454562293427535,"Analamanga","gp",2020-03-14
33,-0.151181251554332,-0.0991327694722786,-0.0484162132772489,"Analamanga","gp",2020-03-15
34,-0.15548456581252,-0.104833438337895,-0.0515834719982766,"Analamanga","gp",2020-03-16
35,-0.163414786514995,-0.109653718431376,-0.056913866516497,"Analamanga","gp",2020-03-17
36,-0.170509136854511,-0.110584291583772,-0.0632179856750988,"Analamanga","gp",2020-03-18
37,-0.181642467276026,-0.113975798265154,-0.0676704714867461,"Analamanga","gp",2020-03-19
38,-0.183308451600585,-0.117397133142926,-0.0710525740291476,"Analamanga","gp",2020-03-20
39,-0.187522439239978,-0.120149318693778,-0.0707368306214771,"Analamanga","gp",2020-03-21
40,-0.188819693506844,-0.1232866508176,-0.0707007353351421,"Analamanga","gp",2020-03-22
41,-0.194301758761062,-0.125535772354738,-0.0727313365835701,"Analamanga","gp",2020-03-23
42,-0.193381328635367,-0.125171793171178,-0.0744010794578135,"Analamanga","gp",2020-03-24
43,-0.194892348742177,-0.127560234011988,-0.0744710583641279,"Analamanga","gp",2020-03-25
44,-0.192722621801427,-0.12824359734957,-0.0770624006722257,"Analamanga","gp",2020-03-26
45,-0.188179439692297,-0.127698846234039,-0.0774976025161423,"Analamanga","gp",2020-03-27
46,-0.18619900352165,-0.128824907828664,-0.0735806001829932,"Analamanga","gp",2020-03-28
47,-0.188555057189377,-0.125383621694762,-0.0759100677033783,"Analamanga","gp",2020-03-29
48,-0.189552844306452,-0.12226478249093,-0.0740448594143132,"Analamanga","gp",2020-03-30
49,-0.189255739556053,-0.125169637566752,-0.0729286090748726,"Analamanga","gp",2020-03-31
50,-0.185533935306984,-0.119878532991534,-0.0725999345288296,"Analamanga","gp",2020-04-01
51,-0.184147903676048,-0.117097706701496,-0.0719101240108826,"Analamanga","gp",2020-04-02
52,-0.186577542274942,-0.114868730450092,-0.070092584042612,"Analamanga","gp",2020-04-03
53,-0.177713232123821,-0.113982606148826,-0.067150635509751,"Analamanga","gp",2020-04-04
54,-0.167132236204293,-0.112367434918608,-0.0671841912739744,"Analamanga","gp",2020-04-05
55,-0.153292236085655,-0.113287123092505,-0.066538528631736,"Analamanga","gp",2020-04-06
