"t","lower","median","upper","district","fit","date"
1,-0.0953610808690807,-0.0300095503107366,0.092246443845459,"Atsinanana","gp",2020-02-12
2,-0.0995510051508006,-0.0308126992459382,0.0793186355369266,"Atsinanana","gp",2020-02-13
3,-0.107256999953163,-0.031002865234015,0.070500928787526,"Atsinanana","gp",2020-02-14
4,-0.116989611804518,-0.0280651589314336,0.0617783712959058,"Atsinanana","gp",2020-02-15
5,-0.118416753524212,-0.0280849168090876,0.0598616950557782,"Atsinanana","gp",2020-02-16
6,-0.116621029663249,-0.0217843068981917,0.0649275822451912,"Atsinanana","gp",2020-02-17
7,-0.117803159815357,-0.0201846110239193,0.0647290325123706,"Atsinanana","gp",2020-02-18
8,-0.118258854000406,-0.0210838158751396,0.071120722228147,"Atsinanana","gp",2020-02-19
9,-0.119143592797248,-0.0205665567977997,0.0719220360522207,"Atsinanana","gp",2020-02-20
10,-0.119781884397482,-0.0160612225051755,0.0751020127933497,"Atsinanana","gp",2020-02-21
11,-0.114487248030796,-0.0121968627092821,0.0791052120473025,"Atsinanana","gp",2020-02-22
12,-0.111749549959723,-0.00592522831059446,0.0840899327953951,"Atsinanana","gp",2020-02-23
13,-0.112708079503379,-0.006618299733559,0.0845752348046623,"Atsinanana","gp",2020-02-24
14,-0.0951141997513417,-0.00337238859235802,0.0819342541279674,"Atsinanana","gp",2020-02-25
15,-0.0861517485702151,-0.00278969788129321,0.0791951462168333,"Atsinanana","gp",2020-02-26
16,-0.0799835096396112,-0.00405242471546412,0.0768295320628,"Atsinanana","gp",2020-02-27
17,-0.0765880932575626,-0.00304635642093336,0.0744673335621463,"Atsinanana","gp",2020-02-28
18,-0.0729664964453151,-0.00184923646600508,0.076997126230661,"Atsinanana","gp",2020-02-29
19,-0.0706884738425248,-0.00100593010335122,0.0839087201802626,"Atsinanana","gp",2020-03-01
20,-0.0674139394497918,0.000575310457369301,0.0818662785719213,"Atsinanana","gp",2020-03-02
21,-0.0680516167060288,7.59725923455405e-05,0.0738094697177376,"Atsinanana","gp",2020-03-03
22,-0.0641709076140954,-0.000546853273309868,0.0663519484100724,"Atsinanana","gp",2020-03-04
23,-0.0667473910152729,-0.00406071449073517,0.0611892164048298,"Atsinanana","gp",2020-03-05
24,-0.0747335904314301,-0.00458505182860475,0.0626116925004299,"Atsinanana","gp",2020-03-06
25,-0.084318398819894,-0.00827018858212028,0.0579830680104436,"Atsinanana","gp",2020-03-07
