"t","lower","median","upper","district","fit","date"
1,-0.00987791241356268,0.00542887241317143,0.0640745570619034,"National","gp",2020-02-12
2,-0.0103365997880788,0.00535393027289179,0.0609410518004178,"National","gp",2020-02-13
3,-0.0125416451061673,0.00532823283159361,0.0581738465639883,"National","gp",2020-02-14
4,-0.0141764880575075,0.00380087605123406,0.0526695086792147,"National","gp",2020-02-15
5,-0.0149297968859302,0.00296684898332577,0.0444307882698877,"National","gp",2020-02-16
6,-0.014089702512016,0.00289226435713156,0.0370362750759359,"National","gp",2020-02-17
7,-0.0131880684974923,0.00141868182011401,0.0306262104985207,"National","gp",2020-02-18
8,-0.015333556915457,0.00104668360965598,0.0261191627601864,"National","gp",2020-02-19
9,-0.0173176171361506,-9.16819823588123e-05,0.0224904380557319,"National","gp",2020-02-20
10,-0.0196799841871251,-0.000955555406105713,0.0201794155355127,"National","gp",2020-02-21
11,-0.024572824416679,-0.00151450669286682,0.0187324015959074,"National","gp",2020-02-22
12,-0.027560660935951,-0.00243062990571243,0.0162607844780597,"National","gp",2020-02-23
13,-0.0288341838788989,-0.00394684940698957,0.0121885869151661,"National","gp",2020-02-24
14,-0.032162743045159,-0.00477304958740984,0.0116748590333172,"National","gp",2020-02-25
15,-0.0349127821188108,-0.00662585804144431,0.00850626442521657,"National","gp",2020-02-26
16,-0.035669578064076,-0.00834041891857922,0.00580559851612846,"National","gp",2020-02-27
17,-0.0373666415374718,-0.0104057383370473,0.00254239872736699,"National","gp",2020-02-28
18,-0.0422744353059338,-0.0127292288467228,-0.000304290884293974,"National","gp",2020-02-29
19,-0.0466467815836091,-0.016001911109624,-0.00241102106593398,"National","gp",2020-03-01
20,-0.0509987050810613,-0.0195171801751474,-0.00560437816374271,"National","gp",2020-03-02
21,-0.0564996080458898,-0.02283899142374,-0.00754307470513693,"National","gp",2020-03-03
22,-0.0626243739797008,-0.0267384763946673,-0.00918397881674477,"National","gp",2020-03-04
23,-0.0687368227987047,-0.0311525403524709,-0.0112148183493266,"National","gp",2020-03-05
24,-0.0739605210424648,-0.0367442574018424,-0.0133990324863165,"National","gp",2020-03-06
25,-0.0791040730823699,-0.0423803572861684,-0.01628414935231,"National","gp",2020-03-07
26,-0.0859748800836101,-0.0489864657430083,-0.0201477556537974,"National","gp",2020-03-08
27,-0.0957205483778819,-0.0553725362749014,-0.0244964044372966,"National","gp",2020-03-09
28,-0.0988355090080919,-0.0620208135890776,-0.0289345688124991,"National","gp",2020-03-10
29,-0.10976798780809,-0.0682471653248058,-0.0338599418185171,"National","gp",2020-03-11
30,-0.118340384731182,-0.0750875041510773,-0.0397039588521514,"National","gp",2020-03-12
31,-0.127376296854282,-0.0813247311838774,-0.0445456862847312,"National","gp",2020-03-13
32,-0.134077459234215,-0.0887951224233617,-0.0514333643748454,"National","gp",2020-03-14
33,-0.1456902640839,-0.0954538783911689,-0.0570811753827197,"National","gp",2020-03-15
34,-0.150379616616041,-0.102616610237858,-0.0609556408842643,"National","gp",2020-03-16
35,-0.158971820827699,-0.108664644107653,-0.0660689917601592,"National","gp",2020-03-17
