"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"Analamanga","seir",35,"viral_peak",18.3706207980607,14.9664882256027,17.279498502528,1.00067543406801,1.00236002271037,5661.25396597098
"Analamanga","seir",35,"obs_sd",4.95301806582434,3.99386331935435,4.61637409711312,0.999922209095342,1.00004448651432,6341.5127566134
"Analamanga","seir",35,"t_switch",13.0797734340834,7.38985400927009,11.1156867722505,1.00303051708253,1.00869167479805,5877.14650218275
"Analamanga","seir",35,"level_switch",35.9620115231187,33.9621969286143,35.2733127176318,1.00021106849872,1.00042887846305,5792.56130971821
"Analamanga","seir",35,"prob_detect",0.0952547178134228,0.0452664008141527,0.073503301507016,1.00004148928971,1.0003690215329,6030.58765030297
"Analamanga","seir",35,"R0",5.13835530242196,1.2397830135052,2.94537988695557,1.00287484328647,1.01010461176944,4237.94928045815
"Analamanga","seir",35,"infectious",4.69360087251213,1.51671251425933,2.95678292480548,1.00378661265902,1.00577939800527,5075.73402636485
"Analamanga","seir",35,"incubation",4.18052686690427,2.49495316543877,3.41826089990547,1.00133277669008,1.00450103112717,6081.37904270424
"Analamanga","seir",35,"t0",13.9661514855198,0.910010882583236,7.29270755401267,1.00205963182217,1.00738773455568,4585.97495665793
"Analamanga","seir",35,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",42,"viral_peak",18.9545757235589,15.3616066070378,17.82458640541,1.0003568607233,1.00144058519132,6367.08471551793
"Analamanga","seir",42,"obs_sd",4.94229645960127,3.96185991152228,4.6028352018521,1.00032885339522,1.00132124773531,6461.81345141789
"Analamanga","seir",42,"t_switch",12.6993983181937,6.92787309433473,10.6540363321,1.00031162627771,1.00104842006945,5946.32404556873
"Analamanga","seir",42,"level_switch",36.015184229181,34.066577204632,35.3461690049585,1.00041269831338,1.00141868775817,6411.23438145801
"Analamanga","seir",42,"prob_detect",0.0954609562847544,0.0448262899339132,0.0737491409542173,1.00146157949135,1.00464417481413,6560.68599234108
"Analamanga","seir",42,"R0",5.02426850216186,1.24703079513772,2.91338818169825,1.0006285791422,1.00261687488003,3953.36835378486
"Analamanga","seir",42,"infectious",4.76716077567362,1.6317670391583,3.04132129057712,1.00089169565836,1.00306325239818,5447.15593318226
"Analamanga","seir",42,"incubation",4.20140760202958,2.50716957511417,3.44035879775283,1.0002007095845,1.00042557396247,7738.32901421838
"Analamanga","seir",42,"t0",19.7660773156247,1.42511478335356,11.3584479438979,1.00203945874808,1.00766483623119,4436.70419399182
"Analamanga","seir",42,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",49,"viral_peak",18.3078429546165,14.2799127811624,16.986915836626,1.00218052846337,1.00722805573321,1910.65240395611
"Analamanga","seir",49,"obs_sd",5.02425667057903,4.07731985795389,4.69802614912455,1.00283525992318,1.00980458472973,2007.62996491622
"Analamanga","seir",49,"t_switch",12.5499653721039,6.8975329409718,10.5326029759754,1.00196730907779,1.00681642664786,1711.32208007233
"Analamanga","seir",49,"level_switch",36.2260894875021,34.4304659728863,35.5864011369884,1.00154569094857,1.00567174261232,1945.7909808664
"Analamanga","seir",49,"prob_detect",0.0957015706412114,0.0451403009298432,0.0739200983608692,1.00454180371483,1.0149439670806,2113.98306067674
"Analamanga","seir",49,"R0",6.89493605621397,2.1036088083316,5.58977536203116,1.00192350296533,1.00251715653147,1193.10968570641
"Analamanga","seir",49,"infectious",3.9393569545401,1.42101643931152,2.60070020489671,1.01435614890873,1.04590170801325,2170.82536826579
"Analamanga","seir",49,"incubation",4.07970049371195,2.43902642669351,3.34865969985464,1.00242696996498,1.00634687405448,2075.66913611643
"Analamanga","seir",49,"t0",14.0792443999285,0.511355462837208,5.32244779703598,1.00910406723414,1.02447111802721,408.143915159545
"Analamanga","seir",49,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",56,"viral_peak",18.7418441579346,14.6171926997651,17.321125943734,1.00276336082752,1.00766373893094,2688.54693697722
"Analamanga","seir",56,"obs_sd",4.97581825711112,4.01665638741184,4.64032236802992,1.00144892528982,1.00344923241435,3228.59169213241
"Analamanga","seir",56,"t_switch",12.8506462856974,6.98149787183427,10.7574279593764,1.00144068446287,1.00487046521195,2982.66557050807
"Analamanga","seir",56,"level_switch",35.9351499549417,33.9754877238775,35.2547369825644,1.00102281941256,1.00164601902911,3028.56555654272
"Analamanga","seir",56,"prob_detect",0.0956866089087818,0.0448998418244971,0.0738364764082047,1.00023553236524,1.00086271157713,3228.61994920144
"Analamanga","seir",56,"R0",6.10171043149513,1.27808588222108,4.1448720121576,1.00239894961049,1.00743274629592,1964.12079481237
"Analamanga","seir",56,"infectious",4.31185778503042,1.43794045088434,2.71136761062319,1.00046189980774,1.00050134980045,3510.68037911332
"Analamanga","seir",56,"incubation",4.06034595360502,2.39521019438914,3.32554235776514,1.00232658047114,1.00743726815815,3348.12518359714
"Analamanga","seir",56,"t0",34.8708911521555,3.23300527236473,19.5887514472271,1.00218385257775,1.00806806670058,1168.83091283996
"Analamanga","seir",56,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",77,"viral_peak",17.9893894984826,14.4644803264368,16.914807796756,1.00225258918952,1.00472223163154,2795.86679448075
"Analamanga","seir",77,"obs_sd",5.05560806192621,4.08610440942041,4.71520306752657,1.00091639892534,1.00242372436228,3102.31514575721
"Analamanga","seir",77,"t_switch",12.0978813427399,5.90039779275145,10.0212744704891,1.00359156701148,1.01226989877168,3089.81551524079
"Analamanga","seir",77,"level_switch",35.9272990207268,33.908354859449,35.2435074170157,1.00142015362685,1.00540425808712,3508.95743924091
"Analamanga","seir",77,"prob_detect",0.0970201571505648,0.0460861611410996,0.0756639114436634,1.00109598188266,1.00340315804519,3378.96146593502
"Analamanga","seir",77,"R0",5.33459192434983,1.12956610545818,2.85296723859381,1.00044371302202,1.00166404962586,1473.25520189598
"Analamanga","seir",77,"infectious",4.42737119600472,1.50907193771237,2.79391755082742,1.00406141816361,1.0140448971203,2748.47632883259
"Analamanga","seir",77,"incubation",4.08773909407507,2.42344646416749,3.34227517131658,1.00084479838462,1.00192248599038,3421.85798738651
"Analamanga","seir",77,"t0",45.8556889044524,3.2872168930084,27.3228893614702,1.00119431121434,1.00429213887491,1064.5765878777
"Analamanga","seir",77,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",84,"viral_peak",17.1719317872072,13.6775024554459,16.0105781583338,1.00149285871892,1.00563972266096,2688.87653054219
"Analamanga","seir",84,"obs_sd",4.98760920171615,3.99978190150305,4.64837121065236,1.00191878580028,1.00698159037865,2999.88617356246
"Analamanga","seir",84,"t_switch",11.1774448015579,5.42615942181831,9.22803395215958,1.00460375945933,1.01630885569281,3109.5796092444
"Analamanga","seir",84,"level_switch",34.9217461710153,33.5739360924332,34.2533355278105,1.00279877165065,1.00860532256876,2158.97985878155
"Analamanga","seir",84,"prob_detect",0.098558892776872,0.0466365412809291,0.0757430581218268,1.00182333883348,1.00566386563198,2816.55575937515
"Analamanga","seir",84,"R0",4.0485807749259,2.16751652704381,3.03396800457939,1.00322153038059,1.00783917679915,1824.49711122844
"Analamanga","seir",84,"infectious",4.77781962445992,1.60646291491639,3.04650064239057,1.00608157260765,1.01729505531636,3592.382791834
"Analamanga","seir",84,"incubation",4.20029054060069,2.50771608999583,3.44931276797921,1.00584082364565,1.01766591943987,3163.1429608393
"Analamanga","seir",84,"t0",19.0977211334485,0.800481130357421,8.42237316814602,1.01074326169332,1.03316491370036,1648.89495658481
"Analamanga","seir",84,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",98,"viral_peak",17.8255442121693,14.4969334160495,16.6920921217275,1.00165687948112,1.00314926175025,6014.00546923556
"Analamanga","seir",98,"obs_sd",5.04129222723978,4.07991581794598,4.71497011453797,1.00148899420547,1.0052477688847,6378.90314398585
"Analamanga","seir",98,"t_switch",13.2213248678426,7.59789739766306,11.2816892940243,1.00046047577565,1.00164108643477,5135.31790473357
"Analamanga","seir",98,"level_switch",35.9864605021603,34.0019668906466,35.2947744188477,1.00022650225626,1.00112931373756,5666.07099679719
"Analamanga","seir",98,"prob_detect",0.0980429865698353,0.0463419201010652,0.0759164658808437,1.00027038801836,1.00120470813871,5948.63325018235
"Analamanga","seir",98,"R0",4.05776309093555,1.26220734406641,2.26145412558888,1.0020641219257,1.00692491836935,3049.05659845703
"Analamanga","seir",98,"infectious",5.20519211522425,1.76611067550419,3.31813653471296,1.00162623575733,1.00328846092649,4848.11728191861
"Analamanga","seir",98,"incubation",4.24418878996026,2.52012076750929,3.47833080424696,1.00207790260036,1.00624965671884,6434.30007648681
"Analamanga","seir",98,"t0",55.337318517383,10.4163747197913,46.9361932417316,1.00356850699477,1.00907468244127,2912.00297204491
"Analamanga","seir",98,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",105,"viral_peak",17.301805525901,14.6941896143185,16.4670665130025,1.00094629668717,1.00339521453814,4410.60199575037
"Analamanga","seir",105,"obs_sd",5.02575521850257,4.06982093732449,4.69681623400633,1.00060870887723,1.00166812645527,5636.93754692826
"Analamanga","seir",105,"t_switch",13.7922452260339,8.35462170193758,11.9021897088061,1.0005036618604,1.00169031946037,5128.24669474939
"Analamanga","seir",105,"level_switch",35.8833355988369,33.7698058917203,35.1630882710009,1.00205255057389,1.0035603746019,5314.95781311938
"Analamanga","seir",105,"prob_detect",0.0989800967615551,0.0464357501017487,0.0766930342326752,1.00067077217222,1.00160186362752,5069.51136535614
"Analamanga","seir",105,"R0",3.78809417208285,1.51890335029768,2.44522196479025,1.00403711617695,1.0130632288722,2807.24587193011
"Analamanga","seir",105,"infectious",5.41566350746292,1.77756228814493,3.45716861911134,1.0017217204214,1.00483312225937,4294.50113717552
"Analamanga","seir",105,"incubation",4.30226322052646,2.54843707643923,3.5231899993749,1.00054479454247,1.00098294460811,5772.11928190152
"Analamanga","seir",105,"t0",60.3650557082094,22.401373980166,55.2339290543511,1.01059310599304,1.02512125988441,3444.32308517611
"Analamanga","seir",105,"chain",2,1,1,Inf,NA,0
"Analamanga","seir",112,"viral_peak",17.8781778708605,14.6254906257608,16.8108733414337,1.00014200627424,1.00085493612829,5873.64656574284
"Analamanga","seir",112,"obs_sd",5.02150538443481,4.04149303382146,4.68927684065537,1.00042422227397,1.00058813334157,5555.4351433915
"Analamanga","seir",112,"t_switch",12.7813795040914,7.15550563774899,10.802636448955,1.00013283572151,1.00065764625978,5556.89783066236
"Analamanga","seir",112,"level_switch",35.7111618329673,33.6526099317577,34.9251972374631,1.00159136676742,1.00490519290462,4782.42799931096
"Analamanga","seir",112,"prob_detect",0.0985192859360081,0.0473182587277021,0.0769258105663268,0.999977392755497,1.00004657158318,6357.18818531586
