"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"National","seir",35,"viral_peak",18.5897743641229,15.1121945754069,17.4882624347039,1.00015549675226,1.00039041398468,6263.47008716295
"National","seir",35,"obs_sd",4.93234895523935,3.96879982522642,4.59445738683907,1.00280757182019,1.0105528436334,6985.36490213984
"National","seir",35,"t_switch",13.0327805425521,7.3893875073796,11.0771958426044,1.0000988538393,1.00066898893271,6342.97045861624
"National","seir",35,"level_switch",35.9778958839025,34.0334584905664,35.2956729617687,1.00153736383416,1.00567676756142,7010.27451170188
"National","seir",35,"prob_detect",0.0952441298918835,0.0454557955061354,0.0736813128743045,1.00026139790859,1.00083256530571,7239.52935136435
"National","seir",35,"R0",5.2567834388397,1.23582166671022,3.07273406175412,0.999989788516246,1.0000014339346,4431.20784697552
"National","seir",35,"infectious",4.63261230651125,1.54251657017776,2.91657332208463,1.00061777969841,1.00137943730572,5640.68758337972
"National","seir",35,"incubation",4.14839894294216,2.45417652839485,3.38809250613841,1.00041337153697,1.00106158234077,6384.59999660388
"National","seir",35,"t0",14.2092853047694,0.929789868273737,7.40020019051568,1.00070983191923,1.00292712465522,4694.67839773878
"National","seir",35,"chain",2,1,1,Inf,NA,0
"National","seir",42,"viral_peak",19.5496949649649,15.4743612554727,18.4066766298823,1.00137891989495,1.00226342405681,3127.43619784474
"National","seir",42,"obs_sd",4.85655232945528,3.87519614513797,4.51972543036162,1.00163570951386,1.00611469490574,4779.96450818172
"National","seir",42,"t_switch",13.1759094271112,7.4223067561101,11.1663427064301,1.00113592030029,1.00436344289549,4098.27849897027
"National","seir",42,"level_switch",35.9431419918439,33.9664564731367,35.2625903809641,1.00013137583291,1.00072100633624,4534.89957003578
"National","seir",42,"prob_detect",0.095884635507874,0.0452595881668597,0.0745162277693273,1.00187702773727,1.00718080452782,5015.65592603385
"National","seir",42,"R0",5.46474873705114,1.26643275302569,3.26520862079918,0.999931062112587,1.00000842323037,2902.49551702464
"National","seir",42,"infectious",4.53385476468898,1.51552855217496,2.8708975899956,1.0064889567453,1.01626219699017,5096.17639210012
"National","seir",42,"incubation",4.14678503146249,2.45230088755496,3.39050222953166,1.00061718812955,1.00158579091595,4997.16121790703
"National","seir",42,"t0",19.353506912069,1.79182696909979,11.4168667614839,1.00184227039121,1.00676892344545,2683.17526490696
"National","seir",42,"chain",2,1,1,Inf,NA,0
"National","seir",49,"viral_peak",18.6983629297648,14.581690159266,17.2920375262752,1.00332770445506,1.01204406893775,1326.75320128998
"National","seir",49,"obs_sd",5.07879001318154,4.08866881059989,4.7469997189353,1.0062849607998,1.02263886957043,1280.52852169139
"National","seir",49,"t_switch",12.9408731174583,7.34353415156895,11.05223724808,1.00358902773181,1.01323903034771,1157.49872385637
"National","seir",49,"level_switch",36.0204017078428,34.1363261922159,35.3261551251952,1.00859839213503,1.03035275003486,1240.62142915068
"National","seir",49,"prob_detect",0.0964656661418568,0.0456774226290898,0.0744258458481779,1.00739195185374,1.02687899825584,1363.73160099277
"National","seir",49,"R0",6.84983767896232,1.65211475410115,5.42040786613408,1.01315338048952,1.04288826851134,826.972279637166
"National","seir",49,"infectious",4.04407107787332,1.44903295658277,2.67459774143629,1.00241703889665,1.00575258756726,1590.6562174552
"National","seir",49,"incubation",4.02629815532119,2.42284761624524,3.29804751053608,1.00286270927532,1.01002384877403,1624.55725701708
"National","seir",49,"t0",21.7687591774152,1.18167451566761,9.00356720239569,1.00268303044351,1.0092138605863,350.208087406391
"National","seir",49,"chain",2,1,1,Inf,NA,0
"National","seir",56,"viral_peak",18.8497960537997,14.3914727582271,17.3169639208633,1.00155035784773,1.00412725752211,1248.55178459737
"National","seir",56,"obs_sd",4.94642102129221,3.9987674928734,4.61089198495781,1.00301132357133,1.01097068075052,1929.82454196807
"National","seir",56,"t_switch",12.8932791979308,6.7047665263474,10.8075020817925,1.00525340242692,1.018070833496,1435.67192346199
"National","seir",56,"level_switch",35.9657412130503,34.0024575050656,35.2557640638748,1.00089467512084,1.00219034438277,1556.32952028035
"National","seir",56,"prob_detect",0.0959259916948198,0.0449572367595736,0.0745332014623632,1.00113794933163,1.00196231063461,1892.38271454342
"National","seir",56,"R0",6.03312666849152,1.30331971443467,3.97636878501656,1.00143102673192,1.00510183654998,989.205754196089
"National","seir",56,"infectious",4.33893104936342,1.4240381205323,2.69560322931522,1.00092701161755,1.00304819176181,1630.693501518
"National","seir",56,"incubation",4.07171352227826,2.44220818753491,3.32889799305685,1.00365349380103,1.00452747646816,1657.63509695846
"National","seir",56,"t0",40.7695317943549,7.59007641361844,27.591255423929,1.01310529112056,1.04302865367366,639.010033048333
"National","seir",56,"chain",2,1,1,Inf,NA,0
"National","seir",63,"viral_peak",18.5255402495074,14.1900499695567,17.1154297361357,1.00425742843295,1.01520549779581,1342.72228882372
"National","seir",63,"obs_sd",4.92354184851824,3.97165275024031,4.58662442544497,1.00203968298178,1.00719267522377,1671.58776308508
"National","seir",63,"t_switch",13.0289158788778,7.23234862159171,11.005650957286,1.00141329695505,1.0020441165074,1687.97056434186
"National","seir",63,"level_switch",35.9105866607918,33.94391252357,35.2087930197912,1.00351393348745,1.01143657803403,1601.88237960609
"National","seir",63,"prob_detect",0.0946591126331914,0.0456173475250818,0.0730443175698119,1.0013775360157,1.00408295472757,2069.3826306233
"National","seir",63,"R0",6.13808985365273,1.30297388926356,4.04553530230328,1.00256016317839,1.00868668720298,865.279907392199
"National","seir",63,"infectious",4.18148793015691,1.41556684086307,2.66635807062716,1.00879308950858,1.02658199792851,1703.99495286631
"National","seir",63,"incubation",4.05114711079922,2.41011019030331,3.32658215423401,1.00085755153018,1.00261312801765,2221.8768212539
"National","seir",63,"t0",50.3657445335188,14.332609860244,39.1299383199823,1.0480588132153,1.14081330720988,662.312690882426
"National","seir",63,"chain",2,1,1,Inf,NA,0
"National","seir",77,"viral_peak",18.3941755075094,14.7453826890709,17.3510866715309,1.00053407702894,1.0010570228736,1952.65541933788
"National","seir",77,"obs_sd",5.03652872680632,4.05552990857267,4.69632528656471,1.00299893357745,1.00985795326475,2305.5814085196
"National","seir",77,"t_switch",12.191658911524,6.05762860029568,10.1131661005971,1.00140091135413,1.00487135381517,2184.64791028432
"National","seir",77,"level_switch",35.9554203574955,33.8539282059107,35.2257806058504,1.00311916109715,1.01129292101746,2533.33550024591
"National","seir",77,"prob_detect",0.09636124626123,0.0456207927181054,0.0745815741588349,1.00449643424166,1.01394065233072,2790.39838379521
"National","seir",77,"R0",5.75061830547534,1.15016030145924,3.4231734352443,1.0048240883886,1.01592056305876,1074.38904214818
"National","seir",77,"infectious",4.31467836681951,1.47494484596885,2.74544017020212,1.00800465189313,1.01916639776287,2591.48705039677
"National","seir",77,"incubation",4.04336786642811,2.41862488393762,3.32165130516077,1.00011711493195,1.00062570364548,3332.16987989377
"National","seir",77,"t0",49.2629697272366,4.7713382639836,32.3550227455673,1.00064175766679,1.00213573757018,839.605878988823
"National","seir",77,"chain",2,1,1,Inf,NA,0
"National","seir",84,"viral_peak",18.7213308241139,15.8776826132649,18.0708283144836,1.00223601364854,1.00378945241324,1592.06177532891
"National","seir",84,"obs_sd",5.21390028271715,4.35527432351034,4.91905269230284,1.00128601455346,1.00156289466985,3466.78113260459
"National","seir",84,"t_switch",12.8579409570635,7.4803174670148,10.9629970112971,1.00246018989616,1.00681152880858,3716.45109145193
"National","seir",84,"level_switch",35.9310997596322,34.0061172958025,35.232088369232,1.00240172661408,1.00842762392455,3431.99850234463
"National","seir",84,"prob_detect",0.0959462481492717,0.0454495488390379,0.0742040524011094,1.00207152392015,1.00705963455663,3919.6786309932
"National","seir",84,"R0",4.1574513087167,1.37886687618212,2.33168981098196,1.00021032400154,1.00098478381139,1975.06905973075
"National","seir",84,"infectious",5.23941117305308,1.73103225903625,3.29139856918228,1.00042571639423,1.00052157104099,3677.65552403999
"National","seir",84,"incubation",4.25759179717708,2.52446089586477,3.46979546583174,1.00099602257415,1.00289031472788,4581.08661199173
"National","seir",84,"t0",46.1404432874097,7.94711874984174,35.6472042925323,1.00038187127368,1.00165137853821,2455.58425423745
"National","seir",84,"chain",2,1,1,Inf,NA,0
"National","seir",91,"viral_peak",19.3042752989766,16.1564662356145,18.6195304841306,1.04835246529284,1.14324660405462,957.382823983188
"National","seir",91,"obs_sd",4.79144427120266,3.87056608958596,4.47566347675527,1.00646480261061,1.0214880545814,2045.72289450868
"National","seir",91,"t_switch",14.1956618091028,8.84327740562768,12.2778846408728,1.00100444512069,1.00337934381015,2113.29765645558
"National","seir",91,"level_switch",35.8331422405775,33.823011113367,35.1079631781176,1.00107134905997,1.00382735511696,2182.97641728944
"National","seir",91,"prob_detect",0.0969979598928587,0.0455246343834465,0.0749352238007975,1.00046631656335,1.00180322322345,2475.1824205159
"National","seir",91,"R0",6.13150029828726,1.96035104003813,4.26747975040547,1.00543945245544,1.0191815316804,1200.80113186348
"National","seir",91,"infectious",4.40848644782437,1.50751467068697,2.81792273152058,1.00248571219152,1.00627588918734,2482.40486119255
"National","seir",91,"incubation",4.08401446683001,2.45309969755734,3.35036877533626,1.00451357158992,1.01616861417935,3191.57228182895
"National","seir",91,"t0",60.3893460174164,39.935520211245,56.1488293877851,1.00408263713794,1.00814144043536,2722.33011529743
"National","seir",91,"chain",2,1,1,Inf,NA,0
"National","seir",98,"viral_peak",18.5433866229428,15.262792704421,17.8013771790761,1.02718285511096,1.07998941327636,1322.4714210945
"National","seir",98,"obs_sd",4.99612323246765,4.09518560458998,4.69054595472011,1.00034226087659,1.0004280166865,3593.5859521839
"National","seir",98,"t_switch",13.6142888661546,8.49453068200667,11.7759176382605,1.0050074545648,1.01806813104883,3136.09783593315
"National","seir",98,"level_switch",35.8207462030547,33.7845893821137,35.1176355439339,1.00032379338337,1.00087560239956,3474.79179733832
"National","seir",98,"prob_detect",0.098227755490579,0.0471769606286318,0.0758457092049857,1.00093011438508,1.00370292092083,3611.86673934787
"National","seir",98,"R0",5.33005776755948,1.9572176914039,3.48592430696748,1.01081708107796,1.03392444603087,1710.46065142522
"National","seir",98,"infectious",4.90949422749938,1.6753235653169,3.14879142924421,1.0032065383443,1.00697983120275,3487.80425566129
"National","seir",98,"incubation",4.18390209036702,2.50420446892643,3.43298244174304,1.0022842007579,1.00860714219702,4449.36945859463
"National","seir",98,"t0",63.8476111411983,40.0179089646497,60.155634063565,1.00357207029343,1.00705399693789,4251.93966301538
"National","seir",98,"chain",2,1,1,Inf,NA,0
"National","seir",105,"viral_peak",19.6537554672328,16.2638791710778,19.0892643552055,1.00865542469749,1.0193842157697,775.556746927842
