"t","ct","lower_expec","median_expec","upper_expec","region","date","fit"
35,0,1.71471551502203e-34,6.83384959997505e-16,1.74404689497629e-08,"Analamanga",2020-03-17,"seir"
35,1,4.58377678345986e-28,3.61712506884828e-13,3.01575105075628e-07,"Analamanga",2020-03-17,"seir"
35,2,7.73998638919599e-23,8.8305285333021e-11,3.91679401137829e-06,"Analamanga",2020-03-17,"seir"
35,3,1.42049694879333e-18,7.08131511845265e-09,3.55676935523243e-05,"Analamanga",2020-03-17,"seir"
35,4,4.24798037709852e-15,2.09011077328188e-07,0.000251397110920645,"Analamanga",2020-03-17,"seir"
35,5,2.8313966159775e-12,3.71753580121658e-06,0.00104587299534727,"Analamanga",2020-03-17,"seir"
35,6,6.41444757181906e-10,3.86612495365728e-05,0.00333960223501573,"Analamanga",2020-03-17,"seir"
35,7,5.80519591751132e-08,0.000243219357255876,0.00917420308020341,"Analamanga",2020-03-17,"seir"
35,8,1.59881417201296e-06,0.00110983874834481,0.0215016561476952,"Analamanga",2020-03-17,"seir"
35,9,2.22125612286445e-05,0.00394037332882148,0.0445420263427891,"Analamanga",2020-03-17,"seir"
35,10,0.000188532511581028,0.0107849729101049,0.0821078810217001,"Analamanga",2020-03-17,"seir"
35,11,0.00108686578891615,0.0259888406181695,0.137225214384451,"Analamanga",2020-03-17,"seir"
35,12,0.00436589286610529,0.0528195909479996,0.210894291118014,"Analamanga",2020-03-17,"seir"
35,13,0.0137531591522032,0.0938662873218999,0.297777093452989,"Analamanga",2020-03-17,"seir"
35,14,0.03504604748035,0.157818111413189,0.398299300791216,"Analamanga",2020-03-17,"seir"
35,15,0.0754363095862792,0.233585758439202,0.502245977970538,"Analamanga",2020-03-17,"seir"
35,16,0.137107878679238,0.326564765299224,0.609355552821361,"Analamanga",2020-03-17,"seir"
35,17,0.219895023305871,0.418899291108988,0.698043083211968,"Analamanga",2020-03-17,"seir"
35,18,0.324036627049271,0.52921506472293,0.775333583463065,"Analamanga",2020-03-17,"seir"
35,19,0.418796787115235,0.616703483291474,0.855428640476293,"Analamanga",2020-03-17,"seir"
35,20,0.510640000984841,0.704777527546782,0.948688622263335,"Analamanga",2020-03-17,"seir"
35,21,0.584397273098744,0.763679036936522,1.00049256226242,"Analamanga",2020-03-17,"seir"
35,22,0.646975642664294,0.841836591240204,1.05449966694841,"Analamanga",2020-03-17,"seir"
35,23,0.700031954032473,0.893841676267478,1.13823665712035,"Analamanga",2020-03-17,"seir"
35,24,0.762108704927072,0.922812047321992,1.15133983646441,"Analamanga",2020-03-17,"seir"
35,25,0.824740539671283,0.946308147156408,1.15068976983781,"Analamanga",2020-03-17,"seir"
35,26,0.849339747472734,0.976676706732814,1.14073313616667,"Analamanga",2020-03-17,"seir"
35,27,0.830658627593221,0.992511124559205,1.12952410544307,"Analamanga",2020-03-17,"seir"
35,28,0.784919952907806,0.996973861655961,1.12889910989122,"Analamanga",2020-03-17,"seir"
35,29,0.744447198095704,0.983476978827441,1.13891247647716,"Analamanga",2020-03-17,"seir"
35,30,0.696751939353004,0.946837441119499,1.13110384503114,"Analamanga",2020-03-17,"seir"
35,31,0.628813450928664,0.901535317349888,1.12357652045467,"Analamanga",2020-03-17,"seir"
35,32,0.571918621355909,0.851453130783327,1.08676457280256,"Analamanga",2020-03-17,"seir"
35,33,0.506712427806558,0.785704413060718,1.02420284831481,"Analamanga",2020-03-17,"seir"
35,34,0.44080397640791,0.713855526022388,0.955574612309406,"Analamanga",2020-03-17,"seir"
35,35,0.383078642961492,0.635642742105634,0.868913404332117,"Analamanga",2020-03-17,"seir"
35,36,0.332714971443396,0.550227115786542,0.783092330232012,"Analamanga",2020-03-17,"seir"
42,0,3.98189647882803e-49,6.5382192913489e-17,3.03592538177404e-08,"Analamanga",2020-03-24,"seir"
42,1,1.84436558018333e-39,9.37282044861496e-14,3.25631644311593e-07,"Analamanga",2020-03-24,"seir"
42,2,1.24106886759613e-31,2.43451348096252e-11,2.79980103177689e-06,"Analamanga",2020-03-24,"seir"
42,3,1.15938133311097e-25,3.00430388761009e-09,2.20541509293984e-05,"Analamanga",2020-03-24,"seir"
42,4,9.75556272143415e-21,1.04984290096247e-07,0.000130209229983712,"Analamanga",2020-03-24,"seir"
42,5,1.01230084561016e-16,2.28756733083019e-06,0.000615973975201852,"Analamanga",2020-03-24,"seir"
42,6,2.15366161017076e-13,2.58134694805566e-05,0.00240670350407484,"Analamanga",2020-03-24,"seir"
42,7,1.18052676915682e-10,0.000181144218098567,0.00723214970943691,"Analamanga",2020-03-24,"seir"
42,8,1.83123948606976e-08,0.000820980452089029,0.0176010113913593,"Analamanga",2020-03-24,"seir"
42,9,8.75782208706801e-07,0.00285054895584703,0.0362692882114948,"Analamanga",2020-03-24,"seir"
42,10,1.76358053510851e-05,0.00909369593462929,0.0645151828700381,"Analamanga",2020-03-24,"seir"
42,11,0.000226797894836817,0.0218360784408738,0.103843028262884,"Analamanga",2020-03-24,"seir"
42,12,0.0016342346831774,0.0454386896881125,0.155267817738099,"Analamanga",2020-03-24,"seir"
42,13,0.00659094316775902,0.0804574310815448,0.219846374561678,"Analamanga",2020-03-24,"seir"
42,14,0.0202047218336037,0.13701387453952,0.302293652913602,"Analamanga",2020-03-24,"seir"
42,15,0.0512660130336285,0.204306345192095,0.397608155192708,"Analamanga",2020-03-24,"seir"
42,16,0.0940143193031862,0.282015715782477,0.5011903799629,"Analamanga",2020-03-24,"seir"
42,17,0.159496191631137,0.372023570342139,0.633844517358962,"Analamanga",2020-03-24,"seir"
42,18,0.246201992719249,0.4742509530464,0.768985945879314,"Analamanga",2020-03-24,"seir"
42,19,0.341969285622464,0.581903868186103,0.912354746058254,"Analamanga",2020-03-24,"seir"
42,20,0.444922573203087,0.688448086224088,1.03325418690652,"Analamanga",2020-03-24,"seir"
42,21,0.552046039932819,0.784912624664416,1.12582177542783,"Analamanga",2020-03-24,"seir"
42,22,0.651670765401762,0.888446075722592,1.1965471664103,"Analamanga",2020-03-24,"seir"
42,23,0.748790417112754,0.968304361472135,1.27158923366679,"Analamanga",2020-03-24,"seir"
42,24,0.83703919766564,1.03693763440845,1.34979673461672,"Analamanga",2020-03-24,"seir"
42,25,0.941613045635596,1.10351401646099,1.37848909929823,"Analamanga",2020-03-24,"seir"
42,26,1.02906752960424,1.15771281513727,1.41193267278084,"Analamanga",2020-03-24,"seir"
42,27,1.08224053142207,1.19518213005467,1.42284304014759,"Analamanga",2020-03-24,"seir"
42,28,1.06308759746542,1.24001434846944,1.41677101462863,"Analamanga",2020-03-24,"seir"
42,29,1.01284929281803,1.25090417183313,1.44836324291636,"Analamanga",2020-03-24,"seir"
42,30,0.935829811083219,1.23812203589063,1.49538621817424,"Analamanga",2020-03-24,"seir"
42,31,0.841129588578184,1.20679440704474,1.52706258894606,"Analamanga",2020-03-24,"seir"
42,32,0.747420242313842,1.1485588469822,1.50281461757392,"Analamanga",2020-03-24,"seir"
42,33,0.665858457395428,1.07479092831371,1.42543929675405,"Analamanga",2020-03-24,"seir"
42,34,0.589598315106547,0.996989997422578,1.3213230337011,"Analamanga",2020-03-24,"seir"
42,35,0.518256058300743,0.903088178788854,1.19895550043281,"Analamanga",2020-03-24,"seir"
42,36,0.452510875493016,0.801264485008761,1.07478511468512,"Analamanga",2020-03-24,"seir"
49,0,4.87639495526818e-237,1.15330161522705e-17,5.61987014595854e-08,"Analamanga",2020-03-31,"seir"
49,1,7.26247587414789e-195,8.21757097104012e-15,5.45817891938565e-07,"Analamanga",2020-03-31,"seir"
49,2,3.49214590879418e-160,1.37826231107543e-12,2.64856352749788e-06,"Analamanga",2020-03-31,"seir"
49,3,1.16066577041838e-131,1.08064188341841e-10,9.99787639747802e-06,"Analamanga",2020-03-31,"seir"
49,4,3.31260078702395e-108,3.83965252677009e-09,4.11875535940385e-05,"Analamanga",2020-03-31,"seir"
49,5,6.44694169096872e-89,7.36626153275319e-08,0.000125790631298249,"Analamanga",2020-03-31,"seir"
49,6,4.70214758561513e-73,8.03878582730871e-07,0.000289174493794182,"Analamanga",2020-03-31,"seir"
49,7,5.21894867166282e-60,5.31220216520855e-06,0.000590302928165846,"Analamanga",2020-03-31,"seir"
49,8,2.79061712696983e-49,2.34258567917537e-05,0.00139536049533661,"Analamanga",2020-03-31,"seir"
49,9,1.85453600374032e-40,8.17009934677296e-05,0.00333646581612894,"Analamanga",2020-03-31,"seir"
49,10,3.33939018318017e-33,0.000216527645169693,0.00751978541551804,"Analamanga",2020-03-31,"seir"
49,11,3.09280576488565e-27,0.000499198338356797,0.012309048925645,"Analamanga",2020-03-31,"seir"
