"t","ct","lower_expec","median_expec","upper_expec","region","date","fit"
35,0,2.32574829014058e-42,3.02042768601526e-15,9.89115026670388e-08,"National",2020-03-17,"seir"
35,1,2.34541681918136e-34,1.61098937936197e-12,2.06558346602379e-06,"National",2020-03-17,"seir"
35,2,6.26221944517045e-28,2.48640441284023e-10,2.44168175631963e-05,"National",2020-03-17,"seir"
35,3,9.0814557774412e-23,2.11978618422378e-08,0.000172528772557006,"National",2020-03-17,"seir"
35,4,1.27962198803446e-18,5.81220525743372e-07,0.000665674205754362,"National",2020-03-17,"seir"
35,5,2.81706420565666e-15,9.10793747946747e-06,0.00213924572470103,"National",2020-03-17,"seir"
35,6,1.43111686271823e-12,9.78348886831517e-05,0.00609328810161375,"National",2020-03-17,"seir"
35,7,2.29738294939742e-10,0.000564783663960006,0.0149779599480424,"National",2020-03-17,"seir"
35,8,1.48167706106072e-08,0.0020132424187721,0.0314085374109498,"National",2020-03-17,"seir"
35,9,4.5695173651823e-07,0.00652726845525827,0.0579027818225448,"National",2020-03-17,"seir"
35,10,7.60790640874394e-06,0.0155819801343355,0.0961218872720765,"National",2020-03-17,"seir"
35,11,7.59011895093238e-05,0.0329178121963812,0.146316997403866,"National",2020-03-17,"seir"
35,12,0.000551272375338145,0.0653743934142526,0.207000325754475,"National",2020-03-17,"seir"
35,13,0.00275040666326045,0.110231791877391,0.27629619442103,"National",2020-03-17,"seir"
35,14,0.0100948639067858,0.169657102406074,0.368937854552531,"National",2020-03-17,"seir"
35,15,0.0253839597959477,0.246791922358885,0.457865188414753,"National",2020-03-17,"seir"
35,16,0.0589148302293818,0.336449049237067,0.56332041189718,"National",2020-03-17,"seir"
35,17,0.120246374222959,0.440243994891515,0.640725365808104,"National",2020-03-17,"seir"
35,18,0.200023766214061,0.537176187059023,0.735724439548397,"National",2020-03-17,"seir"
35,19,0.304234062396119,0.612902970304731,0.860423356136423,"National",2020-03-17,"seir"
35,20,0.405338628968718,0.686301896690683,0.980817322447988,"National",2020-03-17,"seir"
35,21,0.519964700054237,0.762651749523603,1.07502771683459,"National",2020-03-17,"seir"
35,22,0.638277573570086,0.824826011810011,1.14554097461223,"National",2020-03-17,"seir"
35,23,0.731638559368243,0.88103931888244,1.21351177891812,"National",2020-03-17,"seir"
35,24,0.797217385516612,0.924214052457207,1.26610916461961,"National",2020-03-17,"seir"
