"t","variable","value","date","fit","state","region"
35,"lower95",-0.696978960076895,2020-03-17,"seir","declining","Analamanga"
35,"lower70",-0.465955338319363,2020-03-17,"seir","declining","Analamanga"
35,"lower50",-0.324577285059689,2020-03-17,"seir","declining","Analamanga"
35,"lower20",0.0505331235823179,2020-03-17,"seir","growing","Analamanga"
35,"median",0.0978742337273151,2020-03-17,"seir","growing","Analamanga"
35,"upper20",0.143128091394416,2020-03-17,"seir","growing","Analamanga"
35,"upper50",0.199413545384325,2020-03-17,"seir","growing","Analamanga"
35,"upper70",0.241626951531331,2020-03-17,"seir","growing","Analamanga"
35,"upper95",0.371221672681831,2020-03-17,"seir","growing","Analamanga"
42,"lower95",-0.548816480964546,2020-03-24,"seir","declining","Analamanga"
42,"lower70",-0.30846200208994,2020-03-24,"seir","declining","Analamanga"
42,"lower50",-0.00445344040926885,2020-03-24,"seir","declining","Analamanga"
42,"lower20",0.0937986510210289,2020-03-24,"seir","growing","Analamanga"
42,"median",0.127485170360346,2020-03-24,"seir","growing","Analamanga"
42,"upper20",0.16922480454887,2020-03-24,"seir","growing","Analamanga"
42,"upper50",0.237086893624788,2020-03-24,"seir","growing","Analamanga"
42,"upper70",0.298927485945805,2020-03-24,"seir","growing","Analamanga"
42,"upper95",0.438712201107194,2020-03-24,"seir","growing","Analamanga"
49,"lower95",-0.398270772660067,2020-03-31,"seir","declining","Analamanga"
49,"lower70",-0.321514611252066,2020-03-31,"seir","declining","Analamanga"
49,"lower50",-0.297792027617025,2020-03-31,"seir","declining","Analamanga"
49,"lower20",-0.273556905383384,2020-03-31,"seir","declining","Analamanga"
49,"median",-0.262240626600759,2020-03-31,"seir","declining","Analamanga"
49,"upper20",-0.248739745054865,2020-03-31,"seir","declining","Analamanga"
49,"upper50",-0.229016840217495,2020-03-31,"seir","declining","Analamanga"
49,"upper70",-0.0820670005991684,2020-03-31,"seir","declining","Analamanga"
49,"upper95",0.483513311688343,2020-03-31,"seir","growing","Analamanga"
56,"lower95",-0.451098186580746,2020-04-07,"seir","declining","Analamanga"
56,"lower70",-0.321495914911741,2020-04-07,"seir","declining","Analamanga"
56,"lower50",-0.252161256306265,2020-04-07,"seir","declining","Analamanga"
56,"lower20",0.0322552767260234,2020-04-07,"seir","growing","Analamanga"
56,"median",0.106735193216783,2020-04-07,"seir","growing","Analamanga"
56,"upper20",0.20616222365869,2020-04-07,"seir","growing","Analamanga"
56,"upper50",0.355059895317519,2020-04-07,"seir","growing","Analamanga"
56,"upper70",0.451764112054514,2020-04-07,"seir","growing","Analamanga"
56,"upper95",0.665133546362384,2020-04-07,"seir","growing","Analamanga"
77,"lower95",-0.384792718456186,2020-04-28,"seir","declining","Analamanga"
77,"lower70",-0.219959183959448,2020-04-28,"seir","declining","Analamanga"
77,"lower50",-0.145803942155035,2020-04-28,"seir","declining","Analamanga"
77,"lower20",0.030098332327607,2020-04-28,"seir","growing","Analamanga"
77,"median",0.0889216893663047,2020-04-28,"seir","growing","Analamanga"
77,"upper20",0.218648840324174,2020-04-28,"seir","growing","Analamanga"
77,"upper50",0.379421240812768,2020-04-28,"seir","growing","Analamanga"
77,"upper70",0.460516079165694,2020-04-28,"seir","growing","Analamanga"
77,"upper95",0.612060045458683,2020-04-28,"seir","growing","Analamanga"
84,"lower95",-0.304254521666477,2020-05-05,"seir","declining","Analamanga"
84,"lower70",-0.221517898397315,2020-05-05,"seir","declining","Analamanga"
84,"lower50",-0.196768806719014,2020-05-05,"seir","declining","Analamanga"
84,"lower20",-0.175420124558352,2020-05-05,"seir","declining","Analamanga"
84,"median",-0.165463020338701,2020-05-05,"seir","declining","Analamanga"
84,"upper20",-0.15739099619871,2020-05-05,"seir","declining","Analamanga"
84,"upper50",-0.144507528052571,2020-05-05,"seir","declining","Analamanga"
84,"upper70",-0.136438913458543,2020-05-05,"seir","declining","Analamanga"
84,"upper95",-0.121674861113802,2020-05-05,"seir","declining","Analamanga"
98,"lower95",-0.537761564376375,2020-05-19,"seir","declining","Analamanga"
98,"lower70",-0.334637788394872,2020-05-19,"seir","declining","Analamanga"
98,"lower50",-0.195905614985251,2020-05-19,"seir","declining","Analamanga"
98,"lower20",-0.0171782863880711,2020-05-19,"seir","declining","Analamanga"
98,"median",0.033094846882085,2020-05-19,"seir","growing","Analamanga"
98,"upper20",0.0563230918559583,2020-05-19,"seir","growing","Analamanga"
98,"upper50",0.0900234029962457,2020-05-19,"seir","growing","Analamanga"
98,"upper70",0.123602128907382,2020-05-19,"seir","growing","Analamanga"
98,"upper95",0.187178700972155,2020-05-19,"seir","growing","Analamanga"
105,"lower95",-0.406114079820305,2020-05-26,"seir","declining","Analamanga"
105,"lower70",-0.228095605119767,2020-05-26,"seir","declining","Analamanga"
105,"lower50",-0.118123415857539,2020-05-26,"seir","declining","Analamanga"
105,"lower20",-0.0118958288975028,2020-05-26,"seir","declining","Analamanga"
105,"median",0.0363261397945012,2020-05-26,"seir","growing","Analamanga"
105,"upper20",0.0688518065720306,2020-05-26,"seir","growing","Analamanga"
105,"upper50",0.101783423624221,2020-05-26,"seir","growing","Analamanga"
105,"upper70",0.121394556520749,2020-05-26,"seir","growing","Analamanga"
105,"upper95",0.154618619987951,2020-05-26,"seir","growing","Analamanga"
112,"lower95",-0.294855474954665,2020-06-02,"seir","declining","Analamanga"
112,"lower70",-0.15136358159739,2020-06-02,"seir","declining","Analamanga"
112,"lower50",-0.077233427232841,2020-06-02,"seir","declining","Analamanga"
112,"lower20",0.00303060306997215,2020-06-02,"seir","growing","Analamanga"
112,"median",0.0247337042815461,2020-06-02,"seir","growing","Analamanga"
112,"upper20",0.0374772297756517,2020-06-02,"seir","growing","Analamanga"
112,"upper50",0.0559640112867987,2020-06-02,"seir","growing","Analamanga"
112,"upper70",0.0755561710837359,2020-06-02,"seir","growing","Analamanga"
112,"upper95",0.116550285956755,2020-06-02,"seir","growing","Analamanga"
119,"lower95",-0.209933755186447,2020-06-09,"seir","declining","Analamanga"
119,"lower70",-0.0843497175924727,2020-06-09,"seir","declining","Analamanga"
