"t","variable","value","date","fit","state","region"
42,"lower95",-0.700560718141387,2020-03-24,"seir","declining","Atsinanana"
42,"lower70",-0.437469933435267,2020-03-24,"seir","declining","Atsinanana"
42,"lower50",-0.31670397458358,2020-03-24,"seir","declining","Atsinanana"
42,"lower20",0.0265109473134378,2020-03-24,"seir","growing","Atsinanana"
42,"median",0.0922185258783781,2020-03-24,"seir","growing","Atsinanana"
42,"upper20",0.133936652156901,2020-03-24,"seir","growing","Atsinanana"
42,"upper50",0.205169632908915,2020-03-24,"seir","growing","Atsinanana"
42,"upper70",0.267851190964393,2020-03-24,"seir","growing","Atsinanana"
42,"upper95",0.419983761160961,2020-03-24,"seir","growing","Atsinanana"
49,"lower95",-0.548084174860008,2020-03-31,"seir","declining","Atsinanana"
49,"lower70",-0.335075821098425,2020-03-31,"seir","declining","Atsinanana"
49,"lower50",-0.228706884135778,2020-03-31,"seir","declining","Atsinanana"
49,"lower20",0.0663569780443413,2020-03-31,"seir","growing","Atsinanana"
49,"median",0.114108290760644,2020-03-31,"seir","growing","Atsinanana"
49,"upper20",0.16019832268086,2020-03-31,"seir","growing","Atsinanana"
49,"upper50",0.251809458969079,2020-03-31,"seir","growing","Atsinanana"
49,"upper70",0.332260145554201,2020-03-31,"seir","growing","Atsinanana"
49,"upper95",0.52571209424493,2020-03-31,"seir","growing","Atsinanana"
56,"lower95",-0.561763898252918,2020-04-07,"seir","declining","Atsinanana"
56,"lower70",-0.374064803092102,2020-04-07,"seir","declining","Atsinanana"
56,"lower50",-0.252987187845624,2020-04-07,"seir","declining","Atsinanana"
56,"lower20",0.0505779762150286,2020-04-07,"seir","growing","Atsinanana"
56,"median",0.105816136559365,2020-04-07,"seir","growing","Atsinanana"
56,"upper20",0.152273462490709,2020-04-07,"seir","growing","Atsinanana"
56,"upper50",0.2477724697424,2020-04-07,"seir","growing","Atsinanana"
56,"upper70",0.318621122215248,2020-04-07,"seir","growing","Atsinanana"
56,"upper95",0.522410198864962,2020-04-07,"seir","growing","Atsinanana"
77,"lower95",-0.526340381276214,2020-04-28,"seir","declining","Atsinanana"
77,"lower70",-0.211223078150691,2020-04-28,"seir","declining","Atsinanana"
77,"lower50",-0.0763565399746613,2020-04-28,"seir","declining","Atsinanana"
77,"lower20",0.0507735306174984,2020-04-28,"seir","growing","Atsinanana"
77,"median",0.0878733690852559,2020-04-28,"seir","growing","Atsinanana"
77,"upper20",0.127536305905198,2020-04-28,"seir","growing","Atsinanana"
77,"upper50",0.207229701685441,2020-04-28,"seir","growing","Atsinanana"
77,"upper70",0.275956945322564,2020-04-28,"seir","growing","Atsinanana"
77,"upper95",0.430295326270317,2020-04-28,"seir","growing","Atsinanana"
84,"lower95",-0.78695562028713,2020-05-05,"seir","declining","Atsinanana"
84,"lower70",-0.641540710339891,2020-05-05,"seir","declining","Atsinanana"
84,"lower50",-0.588463242634612,2020-05-05,"seir","declining","Atsinanana"
84,"lower20",-0.539222480965125,2020-05-05,"seir","declining","Atsinanana"
84,"median",-0.50991408075248,2020-05-05,"seir","declining","Atsinanana"
84,"upper20",-0.480757411812474,2020-05-05,"seir","declining","Atsinanana"
84,"upper50",-0.425654060766036,2020-05-05,"seir","declining","Atsinanana"
84,"upper70",-0.364831200454602,2020-05-05,"seir","declining","Atsinanana"
84,"upper95",0.0537844164084334,2020-05-05,"seir","growing","Atsinanana"
91,"lower95",-0.781234106729466,2020-05-12,"seir","declining","Atsinanana"
91,"lower70",-0.599986864498335,2020-05-12,"seir","declining","Atsinanana"
91,"lower50",-0.538508788028489,2020-05-12,"seir","declining","Atsinanana"
91,"lower20",-0.466318392210181,2020-05-12,"seir","declining","Atsinanana"
91,"median",-0.41431411771311,2020-05-12,"seir","declining","Atsinanana"
91,"upper20",-0.368275473304606,2020-05-12,"seir","declining","Atsinanana"
91,"upper50",-0.235215483074997,2020-05-12,"seir","declining","Atsinanana"
91,"upper70",-0.10314974796216,2020-05-12,"seir","declining","Atsinanana"
91,"upper95",0.159030008890093,2020-05-12,"seir","growing","Atsinanana"
98,"lower95",-0.618585568796105,2020-05-19,"seir","declining","Atsinanana"
98,"lower70",-0.525386363450852,2020-05-19,"seir","declining","Atsinanana"
98,"lower50",-0.486619454063718,2020-05-19,"seir","declining","Atsinanana"
98,"lower20",-0.433603504239308,2020-05-19,"seir","declining","Atsinanana"
98,"median",-0.40124517460727,2020-05-19,"seir","declining","Atsinanana"
98,"upper20",-0.366149675890584,2020-05-19,"seir","declining","Atsinanana"
98,"upper50",-0.260442236717307,2020-05-19,"seir","declining","Atsinanana"
98,"upper70",-0.0771986699696974,2020-05-19,"seir","declining","Atsinanana"
98,"upper95",0.149929061144492,2020-05-19,"seir","growing","Atsinanana"
105,"lower95",-0.487840417157235,2020-05-26,"seir","declining","Atsinanana"
105,"lower70",-0.402421277662935,2020-05-26,"seir","declining","Atsinanana"
105,"lower50",-0.362580020251095,2020-05-26,"seir","declining","Atsinanana"
105,"lower20",-0.304222621844214,2020-05-26,"seir","declining","Atsinanana"
105,"median",-0.25261403714454,2020-05-26,"seir","declining","Atsinanana"
105,"upper20",-0.187908684587417,2020-05-26,"seir","declining","Atsinanana"
105,"upper50",-0.0523123681348301,2020-05-26,"seir","declining","Atsinanana"
105,"upper70",0.0510322911066283,2020-05-26,"seir","growing","Atsinanana"
105,"upper95",0.14500304123482,2020-05-26,"seir","growing","Atsinanana"
112,"lower95",-0.405185770984848,2020-06-02,"seir","declining","Atsinanana"
112,"lower70",-0.342311532353872,2020-06-02,"seir","declining","Atsinanana"
112,"lower50",-0.316931675994752,2020-06-02,"seir","declining","Atsinanana"
112,"lower20",-0.283148360770133,2020-06-02,"seir","declining","Atsinanana"
112,"median",-0.267697503888564,2020-06-02,"seir","declining","Atsinanana"
112,"upper20",-0.240007158303182,2020-06-02,"seir","declining","Atsinanana"
112,"upper50",-0.102271745015403,2020-06-02,"seir","declining","Atsinanana"
112,"upper70",0.0335949319585327,2020-06-02,"seir","growing","Atsinanana"
112,"upper95",0.112874582568983,2020-06-02,"seir","growing","Atsinanana"
119,"lower95",-0.266484092146803,2020-06-09,"seir","declining","Atsinanana"
119,"lower70",-0.165928880483775,2020-06-09,"seir","declining","Atsinanana"
