"t","variable","value","date","fit","state","region"
35,"lower95",-0.695157459913888,2020-03-17,"seir","declining","National"
35,"lower70",-0.476030048348847,2020-03-17,"seir","declining","National"
35,"lower50",-0.356652103774725,2020-03-17,"seir","declining","National"
35,"lower20",0.0273578011484544,2020-03-17,"seir","growing","National"
35,"median",0.0948782230055653,2020-03-17,"seir","growing","National"
35,"upper20",0.13790322834599,2020-03-17,"seir","growing","National"
35,"upper50",0.200270185118159,2020-03-17,"seir","growing","National"
35,"upper70",0.2465036932582,2020-03-17,"seir","growing","National"
35,"upper95",0.383040663872497,2020-03-17,"seir","growing","National"
42,"lower95",-0.605293120257815,2020-03-24,"seir","declining","National"
42,"lower70",-0.426630704128115,2020-03-24,"seir","declining","National"
42,"lower50",-0.345999652500864,2020-03-24,"seir","declining","National"
42,"lower20",-0.00959824398921895,2020-03-24,"seir","declining","National"
42,"median",0.070076882753643,2020-03-24,"seir","growing","National"
42,"upper20",0.121351155545301,2020-03-24,"seir","growing","National"
42,"upper50",0.187629788530199,2020-03-24,"seir","growing","National"
42,"upper70",0.247933508488728,2020-03-24,"seir","growing","National"
42,"upper95",0.407976541326374,2020-03-24,"seir","growing","National"
49,"lower95",-0.42793407407709,2020-03-31,"seir","declining","National"
49,"lower70",-0.346682094347152,2020-03-31,"seir","declining","National"
49,"lower50",-0.315410972946023,2020-03-31,"seir","declining","National"
49,"lower20",-0.285003804371817,2020-03-31,"seir","declining","National"
49,"median",-0.266208387240314,2020-03-31,"seir","declining","National"
49,"upper20",-0.246751657902276,2020-03-31,"seir","declining","National"
49,"upper50",0.0846755115372605,2020-03-31,"seir","growing","National"
49,"upper70",0.307747650788474,2020-03-31,"seir","growing","National"
49,"upper95",0.652501526001827,2020-03-31,"seir","growing","National"
56,"lower95",-0.478716708199426,2020-04-07,"seir","declining","National"
56,"lower70",-0.333193838844496,2020-04-07,"seir","declining","National"
56,"lower50",-0.257297618381041,2020-04-07,"seir","declining","National"
56,"lower20",0.0794814780518243,2020-04-07,"seir","growing","National"
56,"median",0.154008952119253,2020-04-07,"seir","growing","National"
56,"upper20",0.22265624713183,2020-04-07,"seir","growing","National"
56,"upper50",0.338149675358227,2020-04-07,"seir","growing","National"
56,"upper70",0.43513462615355,2020-04-07,"seir","growing","National"
56,"upper95",0.630450243432539,2020-04-07,"seir","growing","National"
63,"lower95",-0.403892573948432,2020-04-14,"seir","declining","National"
63,"lower70",-0.290580188681435,2020-04-14,"seir","declining","National"
63,"lower50",-0.102373242859566,2020-04-14,"seir","declining","National"
63,"lower20",0.0702994435545348,2020-04-14,"seir","growing","National"
63,"median",0.1660349317399,2020-04-14,"seir","growing","National"
63,"upper20",0.247360259213541,2020-04-14,"seir","growing","National"
63,"upper50",0.379522534704377,2020-04-14,"seir","growing","National"
63,"upper70",0.467767944621641,2020-04-14,"seir","growing","National"
63,"upper95",0.711451580244529,2020-04-14,"seir","growing","National"
